area,type,total,price,name
甘井子区,中楼层(共7层)|1992年建|1室1厅|49.37平米|西, 75万,"15,192元/平",八十中周家街
甘井子区,中楼层(共7层)|1992年建|1室1厅|52.03平米|南, 89万,"17,106元/平",八十中红咀街
甘井子区,中楼层(共5层)|2002年建|2室1厅|79.6平米|南北, 135万,"16,960元/平",锦泉源B5区
甘井子区,低楼层(共6层)|2012年建|2室2厅|78.59平米|南北, 138.8万,"17,662元/平",新星绿城五期
甘井子区,低楼层(共18层)|2012年建|1室1厅|46.41平米|南, 93万,"20,039元/平",润泽园
甘井子区,高楼层(共6层)|1990年建|1室1厅|42.09平米|南, 54.6万,"12,973元/平",文体街
甘井子区,中楼层(共6层)|2006年建|2室1厅|98.4平米|南北, 189万,"19,208元/平",北府花园
甘井子区,中楼层(共24层)|2010年建|2室1厅|78.15平米|南, 120.7万,"15,445元/平",安邦北湾
甘井子区,中楼层(共22层)|2011年建|1室1厅|63.39平米|南, 110万,"17,353元/平",泊林映山A区
甘井子区,高楼层(共17层)|2021年建|1室1厅|55平米|南, 105万,"19,091元/平",亿达春田耶鲁时区
甘井子区,中楼层(共17层)|2021年建|1室1厅|54.83平米|南, 105万,"19,151元/平",亿达春田耶鲁时区
甘井子区,中楼层(共11层)|2008年建|2室1厅|78.4平米|南北, 115万,"14,669元/平",南岭花园
甘井子区,中楼层(共33层)|2000年建|2室1厅|70.38平米|南, 69万,"9,804元/平",欣家园二期
甘井子区,中楼层(共30层)|2015年建|2室1厅|66.77平米|南, 115万,"17,224元/平",万成御园
甘井子区,中楼层(共7层)|2003年建|2室2厅|70.23平米|南北, 98万,"13,955元/平",彩虹园
甘井子区,中楼层(共14层)|2016年建|2室1厅|67.44平米|南, 135万,"20,018元/平",华润考拉住区
甘井子区,中楼层(共26层)|2017年建|3室2厅|97.14平米|南北西, 172万,"17,707元/平",中华城
甘井子区,中楼层(共7层)|2019年建|4室2厅|153.37平米|南北, 390万,"25,429元/平",华润二十四城
甘井子区,中楼层(共12层)|2013年建|3室2厅|127.74平米|南北, 344.8万,"26,993元/平",缇香漫城
甘井子区,中楼层(共5层)|2007年建|2室1厅|63.36平米|南北, 114万,"17,993元/平",锦泉源D3区
甘井子区,中楼层(共30层)|2015年建|2室1厅|77.51平米|南北, 140万,"18,063元/平",万成御园
甘井子区,低楼层(共6层)|2003年建|2室1厅|90.29平米|南北, 139.6万,"15,462元/平",金色阳光家园
甘井子区,中楼层(共5层)|2018年建|3室1厅|109.67平米|南北, 255万,"23,252元/平",万科翡翠公园
甘井子区,低楼层(共25层)|2013年建|3室1厅|95.03平米|南北, 188万,"19,784元/平",沿海鉴筑
甘井子区,中楼层(共24层)|2009年建|2室1厅|82.48平米|东南, 129.5万,"15,701元/平",锦泉源D2区
甘井子区,高楼层(共7层)|1995年建|1室1厅|49.5平米|南, 63.5万,"12,829元/平",宏孚小区
甘井子区,高楼层(共24层)|2007年建|2室1厅|80.73平米|南, 105万,"13,007元/平",锦泉源D3区
甘井子区,中楼层(共14层)|2007年建|1室1厅|51.58平米|东南, 65万,"12,602元/平",华南商业大厦
甘井子区,高楼层(共7层)|1989年建|2室1厅|47.56平米|南, 55万,"11,565元/平",苍山路
